name_en,name_fr,book_type,owned_fr,owned_en
Player's Handbook - 2014,Player's Handbook - 2014,Core Rules,Oui,Non
Monster Manual - 2014,Monster Manual - 2014,Core Rules,Oui,Non
Dungeon master's guide - 2014,Dungeon master's guide - 2014,Core Rules,Oui,Non
Dungeon master's guide - 2024,Guide du maître - 2024,Core Rules,Non,Non
Starter Set: Lost mine of Phandelver,Kit d'Initiation,Starter Set,Non,Non
Baldur's Gate; Descent into Avernus,La Porte de Baldur : Descente en Averne,Campagnes,Non,Oui
Volo's Guide to Monsters,,Supplément de règles,Non,Non
Xanathar's Guide to Everything,Le Guide Complet de Xanathar,Supplément de règles,Oui,Non
Mordenkeinen's Tome of Foes,,Supplément de règles,Non,Oui
Tasha's Cauldron of Everything,Le chaudron des merveilles de Tasha,Supplément de règles,Non,Oui
Fizban's Treasury of Dragons,Le Trésor Draconique de Fizban,Supplément de règles,Oui,Non
Monsters of the Multiverse,Les Monstres du Multivers,Supplément de règles,Oui,Non
Bigby presents: Glory of the Giants,Bigby présente La Gloire des Géant,Supplément de règles,Oui,Non
The book of many things,,Supplément de règles,Non,Non
Sword Coast Adventurer's Guide,Le Guide des Aventuriers de la Côte des Épées,Setting,Oui,Non
Guildemasters Guide to Ravnica,,Setting,Non,Oui
Acquisition Incorporated,,Setting,Non,Oui
Eberron : Rising from the Last war,,Setting,Non,Oui
Explorer's guide to Wildemount,,Setting,Non,Oui
Mythic Odysses of Theros,,Setting,Non,Oui
Van richten's Guide to Ravenloft,Le Guide de Van Richten sur Ravenloft,Setting,Oui,Non
Strixhaven : A curriculum of Chaos,,Setting,Non,Non
Spelljammer : Adventures in Space,,Setting,Non,Non
Planescape: Adventures in the Multiverse,,Setting,Non,Non
Eberron: Forge ot the Artificer,,Setting,Non,Non
Hoard of the Dragon Queen,,Campagnes,Non,Oui
The rise of Tiamat,,Campagnes,Non,Oui
Princes of Apocalypse,,Campagnes,Non,Oui
Out of the Abyss,,Campagnes,Non,Oui
Curse of Strahd,La Malédiction de Strahd,Campagnes,Oui,Non
Storm King's Thunder,,Campagnes,Non,Non
Tomb of Annihilation,La tombe de l'annihilation ,Campagnes,Oui,Non
Keys from the Golden Vault,Les clés du verrou d'or,Recueil d'aventures,Non,Non
Waterdeep: Dungeon of the Mad Mage,Le Donjon du Mage Dément,Campagnes,Oui,Non
Tales from the Yawning Portal,Les Contes du Portail Béant,Recueil d'aventures,Non,Oui
Tyranny of Dragons,,Campagnes,Non,Non
Rime of the Frostmaiden,,Campagnes,Non,Oui
The Wild beyond the Witchlight,Par-delà le Carnaval de Sorcelume,Campagnes,Oui,Non
Call of the Netherdeep,,Campagnes,Non,Oui
Dragonlance: Shadow of the Dragon Queen,Dragonlance - L'ombre de la reine de dragons,Campagnes,Oui,Non
Phandelver and Below: The Shattered Obelisk,Les tréfonds de Phancreux - L'Obélisque brisé,Campagnes,Oui,Non
Vecna: Eve of Ruin,Vecna: Au Seuil du Néant,Campagnes,Oui,Non
Player's Handbook - 2024,Manuel des joueurs - 2024,Core Rules,Non,Non
Ghosts of Saltmarsh,,Recueil d'aventures,Non,Oui
Candelkeep Mysteries,,Recueil d'aventures,Non,Non
Journeys through the Radiant Citadel,Horizons de la Citadelle Radieuse,Recueil d'aventures,Oui,Non
Monster Manual - 2024,Manuel des monstres - 2024,Core Rules,Non,Non
Quests from the infinite Staircase,,Recueil d'aventures,Non,Non
Dragon Delves,,Recueil d'aventures,Non,Non
Waterdeep: Dragon Heist,Waterdeep - Le Vol des Dragons,Campagnes,Non,Oui
Essentiels Kit,L'Essentiel,Starter Set,Oui,Non
Starter Set: Dragons of Stormwreck Isl,Starter Set: Les dragons de l'île aux Tempêtes,Starter Set,Oui,Non
Starter Set: Heroes of the Borderlands,,Starter Set,Non,Non
